taxon	sequenceID	name	subgenus	isolate	orientation	country	sample_date
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/AF391797	AF391797	-	-	CTO-604	-	-	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/AF517775	AF517775	-	-	PPA-F3	-	-	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/AX935548	AX935548	-	-	-	-	-	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/AY217650	AY217650	-	-	-	-	-	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/AY222339	AY222339	-	-	-	-	-	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/DD288398	DD288398	-	-	-	-	-	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/DL000267	DL000267	-	-	-	-	-	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/DQ462191	DQ462191	-	-	-	-	Cameroon: southern	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/EU649782	EU649782	-	-	-	-	Cameroon	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/GM991999	GM991999	-	-	-	-	-	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/GQ463602	GQ463602	-	-	Cam2013OK	-	Cameroon	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/KC283227	KC283227	-	-	C314	-	Cambodia	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/KC283228	KC283228	-	-	C388	-	Cambodia	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/KC283229	KC283229	-	-	C578	-	Cambodia	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/KY498772	KY498772	-	-	NKO39	-	Cameroon	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/NC_003323	NC_003323	-	-	CTO-604	-	-	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/X88852	X88852	-	-	PTLV-L(PH969)	-	-	-
alignment/AL_PTLV3/member/ncbi-curated-ptlv3/Y07616	Y07616	-	-	-	-	-	-
