taxon	sequenceID	name	subgenus	isolate	orientation	country	sample_date
alignment/AL_BLV/member/ncbi-curated-blv/AB934282	AB934282	-	-	-	-	Japan: Miyazaki	-
alignment/AL_BLV/member/ncbi-curated-blv/AB934283	AB934283	-	-	-	-	Japan: Miyazaki	-
alignment/AL_BLV/member/ncbi-curated-blv/AB987702	AB987702	-	-	JOTK	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AF033818	AF033818	-	-	-	-	-	-
alignment/AL_BLV/member/ncbi-curated-blv/AF257515	AF257515	-	-	B19	-	Argentina	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018006	AP018006	-	-	cow AF060	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018007	AP018007	-	-	cow AF076	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018008	AP018008	-	-	cow AF193	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018009	AP018009	-	-	cow AF245	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018010	AP018010	-	-	cow AF266	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018011	AP018011	-	-	cow AF293	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018012	AP018012	-	-	cow AF438	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018013	AP018013	-	-	cow AF481	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018014	AP018014	-	-	cow AF513	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018015	AP018015	-	-	cow AF746	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018016	AP018016	-	-	cow AF784	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018017	AP018017	-	-	cow AF805	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018018	AP018018	-	-	cow AF902	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018019	AP018019	-	-	cow AF982	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018020	AP018020	-	-	cow AK001	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018021	AP018021	-	-	cow AK006	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018022	AP018022	-	-	cow AK007	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018023	AP018023	-	-	cow AK011	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018024	AP018024	-	-	cow AN003	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018025	AP018025	-	-	cow AN004	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018026	AP018026	-	-	cow AN006	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018027	AP018027	-	-	cow AN008	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018028	AP018028	-	-	cow AN009	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018029	AP018029	-	-	cow AN011	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018030	AP018030	-	-	cow AN013	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018031	AP018031	-	-	cow AN014	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP018032	AP018032	-	-	cow AN015	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019565	AP019565	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019566	AP019566	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019567	AP019567	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019568	AP019568	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019569	AP019569	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019570	AP019570	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019571	AP019571	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019572	AP019572	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019573	AP019573	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019574	AP019574	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019575	AP019575	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019576	AP019576	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019577	AP019577	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019578	AP019578	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019579	AP019579	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019580	AP019580	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019581	AP019581	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019582	AP019582	-	-	-	-	Japan	-
alignment/AL_BLV/member/ncbi-curated-blv/AP019583	AP019583	-	-	-	-	Japan	-
