Name	Feature	Start	End
PTLV-1	LTR	23	777
PTLV-1	LEA	778	823
PTLV-1	gag	824	2113
PTLV-1	pol	2520	5210
PTLV-1	env	5203	6669
PTLV-1	LTR	8301	9055
PTLV-2	LTR	1	763
PTLV-2	LEA	764	806
PTLV-2	gag	807	2108
PTLV-2	rex	5121	5183
PTLV-2	tax	5180	5183
PTLV-2	pol	2239	5187
PTLV-2	env	5180	6640
PTLV-2	LTR	8190	8952
PTLV-3	LTR	1	697
PTLV-3	LEA	698	755
PTLV-3	gag	756	2024
PTLV-3	pro	1976	2509
PTLV-3	pol	2407	5076
PTLV-3	rex	5069	5071
PTLV-3	tax	5069	5072
PTLV-3	env	5069	6544
PTLV-3	LTR	8221	8917
PTLV-4	LTR	1	696
PTLV-4	LEA	697	749
PTLV-4	gag	750	2024
PTLV-4	pro	1892	2533
PTLV-4	pol	2383	5109
PTLV-4	env	5102	6559
PTLV-4	tax	5102	5105
PTLV-4	rex	5043	5105
PTLV-4	LTR	8096	8791
STLV-1	LTR	1	765
STLV-1	LEA	766	823
STLV-1	gag	824	2137
STLV-1	pol	2541	5231
STLV-1	pro	1867	2781
STLV-1	rex	5168	5227
STLV-1	tax	5224	5227
STLV-1	env	5224	6687
STLV-1	LTR	8343	9107
